epoch,split,total_loss,patch_cosine_loss,action_loss,patch_mse,patch_cosine_error,patch_mean_cosine_error,patch_cosine_error_by_horizon,patch_mse_by_horizon,action_mse,action_mse_by_horizon,steps,samples
65,train,0.041540,0.041540,0.000000,4.121286,0.041540,0.035027,"[0.039366837590932846, 0.04371282830834389]","[4.197007656097412, 4.045560359954834]",0.000000,[],1558,49843
65,val,0.030440,0.030440,0.000000,4.124845,0.030440,0.036094,"[0.027836119756102562, 0.03304300457239151]","[4.19993257522583, 4.049757957458496]",0.000000,[],174,5539
66,train,0.041533,0.041533,0.000000,4.127715,0.041533,0.035218,"[0.03935730829834938, 0.043708037585020065]","[4.202930450439453, 4.052500247955322]",0.000000,[],1558,49843
66,val,0.030509,0.030509,0.000000,4.113618,0.030509,0.036831,"[0.027992499992251396, 0.0330248661339283]","[4.189701080322266, 4.037532806396484]",0.000000,[],174,5539
67,train,0.041522,0.041522,0.000000,4.132746,0.041522,0.035405,"[0.03934992477297783, 0.04369405657052994]","[4.207550525665283, 4.0579400062561035]",0.000000,[],1558,49843
67,val,0.030404,0.030404,0.000000,4.137365,0.030404,0.035760,"[0.02777203731238842, 0.03303609788417816]","[4.211948871612549, 4.062781810760498]",0.000000,[],174,5539
68,train,0.041501,0.041501,0.000000,4.138577,0.041501,0.035564,"[0.03933471813797951, 0.04366809502243996]","[4.212957382202148, 4.064194202423096]",0.000000,[],1558,49843
68,val,0.030338,0.030338,0.000000,4.144423,0.030338,0.036949,"[0.02783004753291607, 0.03284682333469391]","[4.217708587646484, 4.071138858795166]",0.000000,[],174,5539
69,train,0.041500,0.041500,0.000000,4.144120,0.041500,0.035704,"[0.03932962939143181, 0.04366972669959068]","[4.218010902404785, 4.07022762298584]",0.000000,[],1558,49843
69,val,0.030421,0.030421,0.000000,4.146809,0.030421,0.036720,"[0.02785472758114338, 0.03298734873533249]","[4.219927787780762, 4.073690414428711]",0.000000,[],174,5539
70,train,0.041488,0.041488,0.000000,4.148748,0.041488,0.035862,"[0.03932708874344826, 0.04364796355366707]","[4.222382545471191, 4.075112342834473]",0.000000,[],1558,49843
70,val,0.030457,0.030457,0.000000,4.144453,0.030457,0.037013,"[0.02788013592362404, 0.03303329274058342]","[4.218062877655029, 4.070843696594238]",0.000000,[],174,5539
71,train,0.041471,0.041471,0.000000,4.153875,0.041471,0.036027,"[0.03930693492293358, 0.04363514482975006]","[4.227020740509033, 4.080735206604004]",0.000000,[],1558,49843
71,val,0.030395,0.030395,0.000000,4.148530,0.030395,0.037352,"[0.027884848415851593, 0.03290558233857155]","[4.221762180328369, 4.07529878616333]",0.000000,[],174,5539
72,train,0.041458,0.041458,0.000000,4.158949,0.041458,0.036130,"[0.039297737181186676, 0.04361792653799057]","[4.231706619262695, 4.086191177368164]",0.000000,[],1558,49843
72,val,0.030468,0.030468,0.000000,4.152662,0.030468,0.038588,"[0.027843615040183067, 0.033091530203819275]","[4.225910186767578, 4.0794148445129395]",0.000000,[],174,5539
73,train,0.041458,0.041458,0.000000,4.162641,0.041458,0.036289,"[0.039301011711359024, 0.043614502996206284]","[4.235107421875, 4.090170860290527]",0.000000,[],1558,49843
73,val,0.030493,0.030493,0.000000,4.156526,0.030493,0.037686,"[0.027842707931995392, 0.03314397856593132]","[4.229459762573242, 4.083591938018799]",0.000000,[],174,5539
74,train,0.041441,0.041441,0.000000,4.167169,0.041441,0.036390,"[0.039285432547330856, 0.04359561204910278]","[4.239302158355713, 4.095036029815674]",0.000000,[],1558,49843
74,val,0.030409,0.030409,0.000000,4.166288,0.030409,0.037432,"[0.027887066826224327, 0.03293038532137871]","[4.238761901855469, 4.09381628036499]",0.000000,[],174,5539
75,train,0.041438,0.041438,0.000000,4.171166,0.041438,0.036556,"[0.03928754851222038, 0.043588053435087204]","[4.242969036102295, 4.099368095397949]",0.000000,[],1558,49843
75,val,0.030370,0.030370,0.000000,4.166006,0.030370,0.035885,"[0.027839167043566704, 0.03290087357163429]","[4.238571643829346, 4.093440055847168]",0.000000,[],174,5539
76,train,0.041424,0.041424,0.000000,4.174957,0.041424,0.036637,"[0.03927057608962059, 0.04357697814702988]","[4.246426582336426, 4.103494167327881]",0.000000,[],1558,49843
76,val,0.030376,0.030376,0.000000,4.184123,0.030376,0.036501,"[0.02780500426888466, 0.03294694423675537]","[4.255728721618652, 4.11251974105835]",0.000000,[],174,5539
