epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
23,val,0.0231448685,0.02193924134,raw_action_units,0.00120562711,0.00120562711,0.2014628569,"[0.0008161481, 0.0011087813, 0.0013389265, 0.0015586523]","[0.226002112, 0.2084365785, 0.197141245, 0.1742713749]","[0.0100667421, 0.0174720064, 0.0258463789, 0.0339878537]","[0.0092663672, 0.0066606021, 0.0088523347, 0.0002693688, 0.0008775449, 0.0004361116, 0.1265404224]",0,0.0219392404,raw_action_units,190,6073,769564,769564,true
24,train,0.02039959308,0.01902525276,raw_action_units,0.001374340313,0.001374340313,0.2514677065,"[0.0009125621, 0.0012668247, 0.0015352195, 0.0017827556]","[0.2730582952, 0.259652406, 0.2486871034, 0.22447294]","[0.0095716482, 0.0161552932, 0.0222350992, 0.0280853324]","[0.0101993196, 0.0063994369, 0.0107504707, 0.000410992, 0.0009219149, 0.0004791274, 0.1039215848]",0,0.01902525192,raw_action_units,1315,42067,769564,769564,true
24,val,0.02039371352,0.01912923119,raw_action_units,0.001264482386,0.001264482386,0.3033608969,"[0.000795399, 0.0011075365, 0.0014294202, 0.0017255741]","[0.3629565835, 0.317137599, 0.2878547013, 0.245494619]","[0.008844668, 0.0154886069, 0.0225232206, 0.0293263923]","[0.0094293058, 0.0072426153, 0.008586457, 0.000317837, 0.0010742793, 0.0004872234, 0.1061822996]",0,0.01912923029,raw_action_units,190,6073,769564,769564,true
25,train,0.02029174415,0.01892174146,raw_action_units,0.001370002671,0.001370002671,0.2854886918,"[0.0009090458, 0.0012632126, 0.0015310225, 0.0017767296]","[0.3138678074, 0.2947985232, 0.2801065445, 0.2531823516]","[0.0094695622, 0.0159339122, 0.0221648123, 0.0279883537]","[0.0102405958, 0.006256639, 0.0106617128, 0.0004113142, 0.0008914435, 0.0004657673, 0.1032966301]",0,0.01892174062,raw_action_units,1315,42067,769564,769564,true
25,val,0.02113986589,0.02007932487,raw_action_units,0.001060541035,0.001060541035,0.3874313246,"[0.0006910706, 0.0009500547, 0.001186404, 0.0014146344]","[0.4530247748, 0.3983137906, 0.3678277433, 0.3305590153]","[0.0096630501, 0.0165770911, 0.0234607514, 0.0302333124]","[0.0091295727, 0.0067991749, 0.0079560531, 0.0004771718, 0.0008032802, 0.0004783427, 0.1142412499]",0,0.02007932394,raw_action_units,190,6073,769564,769564,true
26,train,0.02015189319,0.0187734665,raw_action_units,0.001378426694,0.001378426694,0.3207563534,"[0.0009206792, 0.0012723606, 0.0015372266, 0.0017834399]","[0.3558624983, 0.331233114, 0.3130053878, 0.2829242349]","[0.0094039412, 0.0159239005, 0.0219266154, 0.0277645011]","[0.0101516312, 0.0061742906, 0.0106270537, 0.0004070091, 0.0008729185, 0.0004843864, 0.1025659665]",0,0.01877346565,raw_action_units,1315,42067,769564,769564,true
26,val,0.0220024867,0.02087466854,raw_action_units,0.001127818119,0.001127818119,0.3390243793,"[0.0007550618, 0.0010244226, 0.0012566817, 0.0014751065]","[0.4110278487, 0.3523442745, 0.3166573346, 0.2760679722]","[0.0099215191, 0.0175751634, 0.0237966161, 0.0318607911]","[0.0095905904, 0.0076682488, 0.009463625, 0.0004808268, 0.0008950229, 0.0005177037, 0.1169036329]",0,0.02087466761,raw_action_units,190,6073,769564,769564,true
27,train,0.02014280829,0.01877247629,raw_action_units,0.001370332004,0.001370332004,0.3681490548,"[0.0009179391, 0.0012647115, 0.0015285101, 0.0017701641]","[0.4174035192, 0.380782336, 0.3553296328, 0.3190803528]","[0.009518506, 0.0159069113, 0.0219301134, 0.027695382]","[0.0102578793, 0.0062841699, 0.0106431805, 0.000407406, 0.0009433915, 0.0004768392, 0.1023262665]",0,0.01877247545,raw_action_units,1315,42067,769564,769564,true
27,val,0.02206622924,0.02090745633,raw_action_units,0.001158772895,0.001158772896,0.327099075,"[0.0008015897, 0.0010512982, 0.0012831506, 0.0014990533]","[0.4050127268, 0.3390809298, 0.3016216457, 0.2626812756]","[0.0097562121, 0.0166306663, 0.0244771335, 0.0323666185]","[0.0119540021, 0.0078142835, 0.0103520313, 0.0003032631, 0.0009310542, 0.0005214235, 0.113777563]",0,0.02090745538,raw_action_units,190,6073,769564,769564,true
28,train,0.01997643447,0.01861751594,raw_action_units,0.001358918539,0.001358918539,0.4506773329,"[0.0009087739, 0.0012554869, 0.0015155841, 0.0017558299]","[0.5222060084, 0.4669077098, 0.4301216602, 0.3834735453]","[0.0094349869, 0.0157884136, 0.021714991, 0.0274583418]","[0.0100578489, 0.0061581191, 0.0105490647, 0.000407842, 0.000884094, 0.0004685338, 0.1016688198]",0,0.01861751508,raw_action_units,1315,42067,769564,769564,true
